ml_score,tilt,distance,label
0.45802686,0.765207721,0,MED
0.9890234,0.758218254,0,HIGH
0.98668766,0.776683381,0,HIGH
0.7926239,0.390435301,0,MED
0.975697,0.684374598,0,HIGH
0.61193246,0.46083956,0,MED
0.00190491,0.10867306,0,LOW
0.00190491,0.10867306,0,LOW
0.99915755,1.679240668,0,HIGH
0.001734082,1.724719333,0,LOW
0.087223165,2.571447016,0,LOW
0.9990357,0.727020311,0,HIGH
0.9999881,0.747004165,0,HIGH
0.25365028,177.75777,0,LOW
0.9725591,0.415950894,0,HIGH
0.9725591,0.415950894,0,HIGH
0.9725591,0.415950894,0.105415575,HIGH
0.9725591,0.415950894,0.107510701,HIGH
0.9725591,0.415950894,0.100363689,HIGH
0.9725591,0.415950894,0.094162159,HIGH
0.002835151,0.087085284,0.072049978,LOW
0.99999225,0.271671645,0.058376044,HIGH
0.9998834,0.754748275,0.046434917,HIGH
0.9990755,0.25220857,0.028125485,HIGH
0.9822574,0.093442386,0.017851872,HIGH
0.9245518,0.154161392,0.011377161,HIGH
0.99784386,0.000387622,0,HIGH
0.89708686,0.422690939,0,HIGH
6.30E-05,0.07372439,0,LOW
0.00048471,0.142947166,0,LOW
2.02E-05,0.447647871,0,LOW
8.98E-05,0.246539203,0,LOW
2.92E-05,0.011670924,0,LOW
7.78E-05,0.29362476,0,LOW
2.26E-06,0.774366615,0,LOW
6.67E-05,0.91756547,0,LOW
1.41E-05,0.555701265,0,LOW
3.16E-05,0.98616101,0,LOW
0.000153643,0.488450163,0,LOW
9.90E-05,0.567042653,0,LOW
9.91E-05,0.953331172,0,LOW
0.004178895,1.713065558,0,LOW
0.000206245,2.647121725,0,LOW
0.000324344,3.810808475,0,LOW
0.000827462,4.339499431,0,LOW
0.005071967,4.768564176,0,LOW
0.5381879,6.127583928,0,MED
0.020009361,6.132941705,0,LOW
2.91E-06,6.337470405,0,LOW
0.000720124,6.308855437,0,LOW
6.21E-06,6.160816047,0,LOW
7.82E-05,5.892751869,0,LOW
3.35E-05,5.46116827,0,LOW
0.004204078,5.633028448,0,LOW
5.18E-06,5.671722638,0,LOW
2.42E-07,5.667116286,0,LOW
2.99E-07,5.934921498,0,LOW
2.76E-05,6.078758233,0,LOW
2.76E-05,5.808752974,0,LOW
2.76E-05,6.087948497,0,LOW
2.76E-05,6.446794438,0,LOW
2.76E-05,6.191646088,0,LOW
2.76E-05,6.209374212,0,LOW
2.76E-05,7.010280124,0,LOW
0.08514576,7.145358381,0,LOW
0.08514576,6.778417732,0.000115982,LOW
0.08514576,7.727607921,0.002467038,LOW
0.08514576,8.001265341,0.004180756,LOW
0.08514576,7.183690443,0.004037628,LOW
0.08514576,7.245218558,0.002618782,LOW
0.08514576,7.059055897,0.001068614,LOW
0.08514576,7.054144136,0.000696204,LOW
0.08514576,6.808081593,0,LOW
0.08514576,6.617284277,0,LOW
0.08514576,6.668851294,0,LOW
0.08514576,6.804030244,0,LOW
0.08514576,6.694088935,0,LOW
0.08514576,6.789344107,0,LOW
0.08514576,6.825350544,0,LOW
0.08514576,6.891403376,0,LOW
